,dropoff_census_tract,dropoff_community_area,dropoff_latitude,dropoff_longitude,pickup_census_tract,pickup_community_area,pickup_latitude,pickup_longitude,time,trip_miles,trip_seconds
96,952.0,7.0,41.921854911,-87.646210977,,8.0,41.90749193,-87.63576009,3,1.8,420.0
97,959.0,8.0,41.89503345,-87.619710672,,28.0,41.88528132,-87.6572332,2,2.24,733.0
98,,6.0,41.944226601,-87.655998182,,32.0,41.878865584,-87.625192142,1,4.8,660.0
99,307.0,32.0,41.877406123,-87.621971652,,8.0,41.892042136,-87.63186395,8,1.0,420.0
100,911.0,8.0,41.890922026,-87.618868355,,8.0,41.892042136,-87.63186395,3,0.0,360.0
101,878.0,6.0,41.953400044,-87.646007066,,32.0,41.880994471,-87.632746489,0,6.1,840.0
102,504.0,32.0,41.884987192,-87.620992913,,8.0,41.900221297,-87.629105186,2,2.1,840.0
103,911.0,8.0,41.890922026,-87.618868355,,8.0,41.902788048,-87.62614559,3,0.0,480.0
104,134.0,24.0,41.89830587,-87.653613982,,8.0,41.900221297,-87.629105186,2,1.9,660.0
105,910.0,24.0,41.906650766,-87.66533766,,28.0,41.88528132,-87.6572332,3,2.6,600.0
106,807.0,28.0,41.879255084,-87.642648998,,32.0,41.884987192,-87.620992913,2,1.4,420.0
107,,7.0,41.922686284,-87.649488729,,8.0,41.899602111,-87.633308037,2,1.7,458.0
108,798.0,6.0,41.952719111,-87.660503502,,32.0,41.880994471,-87.632746489,0,7.4,1140.0
109,543.0,7.0,41.92926299,-87.635890954,,8.0,41.90749193,-87.63576009,2,1.9,480.0
110,792.0,8.0,41.89321636,-87.63784421,,8.0,41.900221297,-87.629105186,0,1.0,480.0
111,,21.0,41.938666196,-87.711210593,,28.0,41.874005383,-87.66351755,1,0.5,1500.0
112,749.0,28.0,41.88528132,-87.6572332,,8.0,41.892042136,-87.63186395,6,0.0,540.0
113,,24.0,41.901206994,-87.676355989,,7.0,41.922686284,-87.649488729,1,2.9,780.0
114,,6.0,41.944226601,-87.655998182,,3.0,41.96581197,-87.655878786,3,1.7,480.0
115,807.0,28.0,41.879255084,-87.642648998,,8.0,41.90749193,-87.63576009,2,2.2,720.0
116,,8.0,41.899602111,-87.633308037,,32.0,41.878865584,-87.625192142,0,1.7,420.0
117,749.0,28.0,41.88528132,-87.6572332,,8.0,41.890922026,-87.618868355,6,0.0,480.0
118,179.0,32.0,41.870607372,-87.622172937,,8.0,41.899155613,-87.626210532,2,0.0,540.0
119,16.0,32.0,41.880994471,-87.632746489,,8.0,41.892072635,-87.628874157,3,0.8,420.0
120,380.0,8.0,41.904935302,-87.649907226,,8.0,41.89321636,-87.63784421,2,1.8,540.0
121,970.0,8.0,41.892507781,-87.626214906,,8.0,41.90749193,-87.63576009,5,7.5,2160.0
122,792.0,8.0,41.89321636,-87.63784421,,28.0,41.88528132,-87.6572332,5,1.1,480.0
123,,3.0,41.96581197,-87.655878786,,6.0,41.944226601,-87.655998182,1,1.9,1020.0
124,,6.0,41.944226601,-87.655998182,,32.0,41.878865584,-87.625192142,1,0.3,900.0
125,807.0,28.0,41.879255084,-87.642648998,,8.0,41.899155613,-87.626210532,2,2.4,780.0
126,787.0,8.0,41.898331794,-87.620762865,,32.0,41.884987192,-87.620992913,3,1.2,360.0
