,dropoff_census_tract,dropoff_community_area,dropoff_latitude,dropoff_longitude,pickup_census_tract,pickup_community_area,pickup_latitude,pickup_longitude,time,trip_miles,trip_seconds
151,982.0,7.0,41.914616286,-87.631717366,,7.0,41.929046937,-87.651310877,2,0.0,420.0
152,970.0,8.0,41.892507781,-87.626214906,,6.0,41.942691844,-87.651770507,2,0.2,660.0
153,,8.0,41.899602111,-87.633308037,,32.0,41.878865584,-87.625192142,0,0.0,540.0
154,,24.0,41.901206994,-87.676355989,,8.0,41.899602111,-87.633308037,11,0.0,600.0
155,1077.0,7.0,41.922082541,-87.634156093,,8.0,41.892042136,-87.63186395,3,2.3,660.0
156,,10.0,41.985015101,-87.804532006,,6.0,41.944226601,-87.655998182,14,9.1,1380.0
157,982.0,7.0,41.914616286,-87.631717366,,8.0,41.892042136,-87.63186395,5,0.0,420.0
158,899.0,8.0,41.892072635,-87.628874157,,6.0,41.942691844,-87.651770507,8,5.2,780.0
159,40.0,28.0,41.885300022,-87.642808466,,8.0,41.892042136,-87.63186395,3,1.4,480.0
160,,3.0,41.96581197,-87.655878786,,28.0,41.874005383,-87.66351755,5,5.9,1080.0
161,,4.0,41.975170943,-87.687515515,,12.0,41.993930128,-87.758353588,20,0.2,600.0
162,,34.0,41.842076117,-87.633973422,,32.0,41.878865584,-87.625192142,4,3.0,900.0
163,,21.0,41.938666196,-87.711210593,,24.0,41.901206994,-87.676355989,14,7.1,1380.0
164,1101.0,24.0,41.906025969,-87.675311622,,8.0,41.900221297,-87.629105186,5,2.8,780.0
165,,6.0,41.944226601,-87.655998182,,8.0,41.899602111,-87.633308037,1,4.0,600.0
166,,6.0,41.944226601,-87.655998182,,8.0,41.899602111,-87.633308037,6,0.0,720.0
167,,16.0,41.953582125,-87.72345239,,4.0,41.975170943,-87.687515515,10,3.5,900.0
168,,8.0,41.899602111,-87.633308037,,6.0,41.944226601,-87.655998182,0,0.2,540.0
169,,22.0,41.92276062,-87.699155343,,7.0,41.922686284,-87.649488729,5,1.7,360.0
170,910.0,24.0,41.906650766,-87.66533766,,8.0,41.892042136,-87.63186395,2,2.8,660.0
171,930.0,32.0,41.87101588,-87.631406525,,6.0,41.942691844,-87.651770507,11,6.3,900.0
172,504.0,32.0,41.884987192,-87.620992913,,8.0,41.892042136,-87.63186395,1,0.0,540.0
173,,31.0,41.850266366,-87.667569312,,8.0,41.899602111,-87.633308037,9,0.3,780.0
174,,32.0,41.878865584,-87.625192142,,28.0,41.874005383,-87.66351755,6,0.1,600.0
175,225.0,8.0,41.892042136,-87.63186395,,8.0,41.904935302,-87.649907226,0,0.2,600.0
176,,6.0,41.944226601,-87.655998182,,7.0,41.922686284,-87.649488729,9,2.4,480.0
177,,21.0,41.938666196,-87.711210593,,22.0,41.92276062,-87.699155343,14,1.9,480.0
178,,17.0,41.94651142,-87.806020002,,19.0,41.927260956,-87.765501609,6,0.1,540.0
179,982.0,7.0,41.914616286,-87.631717366,,8.0,41.905857769,-87.630865027,6,0.0,420.0
180,,31.0,41.850266366,-87.667569312,,7.0,41.922686284,-87.649488729,7,5.1,960.0
181,911.0,8.0,41.890922026,-87.618868355,,8.0,41.892042136,-87.63186395,18,0.6,360.0
182,,31.0,41.850266366,-87.667569312,,24.0,41.901206994,-87.676355989,2,3.9,720.0
183,,16.0,41.953582125,-87.72345239,,6.0,41.944226601,-87.655998182,0,3.6,780.0
184,,22.0,41.92276062,-87.699155343,,8.0,41.899602111,-87.633308037,9,0.2,960.0
185,1046.0,33.0,41.859349715,-87.617358006,,6.0,41.949829346,-87.64396537,7,6.8,1320.0
186,,7.0,41.922686284,-87.649488729,,8.0,41.899602111,-87.633308037,14,3.3,420.0
187,,6.0,41.944226601,-87.655998182,,8.0,41.899602111,-87.633308037,3,4.0,840.0
188,,7.0,41.922686284,-87.649488729,,28.0,41.874005383,-87.66351755,2,0.1,600.0
189,179.0,32.0,41.870607372,-87.622172937,,8.0,41.89321636,-87.63784421,6,0.0,540.0
190,16.0,32.0,41.880994471,-87.632746489,,28.0,41.885300022,-87.642808466,8,1.3,540.0
191,,23.0,41.900069603,-87.720918238,,28.0,41.874005383,-87.66351755,1,0.0,540.0
192,899.0,8.0,41.892072635,-87.628874157,,8.0,41.900221297,-87.629105186,11,0.0,840.0
193,,24.0,41.901206994,-87.676355989,,6.0,41.944226601,-87.655998182,5,3.9,960.0
194,,6.0,41.944226601,-87.655998182,,8.0,41.899602111,-87.633308037,1,4.1,540.0
195,,28.0,41.874005383,-87.66351755,,32.0,41.878865584,-87.625192142,1,2.0,480.0
196,,24.0,41.901206994,-87.676355989,,32.0,41.878865584,-87.625192142,5,0.2,660.0
197,694.0,7.0,41.929077655,-87.646293476,,28.0,41.885300022,-87.642808466,6,0.2,840.0
198,,56.0,41.79259236,-87.769615453,,8.0,41.899602111,-87.633308037,3,13.3,1200.0
199,,7.0,41.922686284,-87.649488729,,22.0,41.92276062,-87.699155343,4,1.5,360.0
200,,6.0,41.944226601,-87.655998182,,8.0,41.899602111,-87.633308037,6,0.0,600.0
201,,43.0,41.761577908,-87.572781987,,8.0,41.899602111,-87.633308037,7,10.9,1440.0
202,787.0,8.0,41.898331794,-87.620762865,,8.0,41.905857769,-87.630865027,0,0.8,480.0
203,,22.0,41.92276062,-87.699155343,,28.0,41.874005383,-87.66351755,11,0.2,840.0
204,,33.0,41.857183858,-87.620334624,,8.0,41.899602111,-87.633308037,9,2.3,600.0
205,,6.0,41.944226601,-87.655998182,,13.0,41.983636307,-87.723583185,1,6.3,1320.0
206,,2.0,42.001571027,-87.695012589,,6.0,41.944226601,-87.655998182,3,5.1,540.0
207,,7.0,41.922686284,-87.649488729,,8.0,41.899602111,-87.633308037,4,4.1,900.0
208,,8.0,41.899602111,-87.633308037,,6.0,41.944226601,-87.655998182,8,5.0,780.0
209,,7.0,41.922686284,-87.649488729,,6.0,41.944226601,-87.655998182,13,1.9,420.0
210,,24.0,41.901206994,-87.676355989,,8.0,41.899602111,-87.633308037,2,3.0,600.0
211,,15.0,41.954027649,-87.763399032,,21.0,41.938666196,-87.711210593,3,2.0,360.0
212,,8.0,41.899602111,-87.633308037,,24.0,41.901206994,-87.676355989,0,4.1,840.0
213,930.0,32.0,41.87101588,-87.631406525,,8.0,41.892072635,-87.628874157,30,0.1,480.0
214,,3.0,41.96581197,-87.655878786,,8.0,41.899602111,-87.633308037,5,5.4,600.0
215,,6.0,41.944226601,-87.655998182,,24.0,41.901206994,-87.676355989,6,3.91,975.0
216,,16.0,41.953582125,-87.72345239,,15.0,41.954027649,-87.763399032,21,3.0,600.0
217,40.0,28.0,41.885300022,-87.642808466,,8.0,41.892042136,-87.63186395,14,1.3,420.0
